dia;sigla;nome;confirmados;obitos
2020-03-31;AC;ACRE;42;0
2020-03-31;AL;ALAGOAS;18;1
2020-03-31;AP;AMAPÁ;10;0
2020-03-31;AM;AMAZONAS;175;3
2020-03-31;BA;BAHIA;213;2
2020-03-31;CE;CEARÁ;390;7
2020-03-31;DF;DISTRITO FEDERAL;332;3
2020-03-31;ES;ESPÍRITO SANTO;84;0
2020-03-31;GO;GOIÁS;65;1
2020-03-31;MA;MARANHÃO;31;1
2020-03-31;MT;MATO GROSSO;25;0
2020-03-31;MS;MATO GROSSO DO SUL;48;1
2020-03-31;MG;MINAS GERAIS;275;2
2020-03-31;PA;PARÁ;32;0
2020-03-31;PB;PARAÍBA;17;0
2020-03-31;PR;PARANÁ;179;3
2020-03-31;PE;PERNAMBUCO;87;6
2020-03-31;PI;PIAUÍ;18;4
2020-03-31;RJ;RIO DE JANEIRO;708;23
2020-03-31;RN;RIO GRANDE DO NORTE;82;1
2020-03-31;RS;RIO GRANDE DO SUL;274;4
2020-03-31;RO;RONDÔNIA;8;1
2020-03-31;RR;RORAIMA;16;0
2020-03-31;SC;SANTA CATARINA;219;2
2020-03-31;SP;SÃO PAULO;2339;136
2020-03-31;SE;SERGIPE;19;0
2020-03-31;TO;TOCANTINS;11;0
