dia	sigla	nome	confirmados	obitos
2020-03-29	AC	ACRE	34	
2020-03-29	AL	ALAGOAS	17	
2020-03-29	AP	AMAPÁ	4	
2020-03-29	AM	AMAZONAS	140	1
2020-03-29	BA	BAHIA	154	1
2020-03-29	CE	CEARÁ	348	5
2020-03-29	DF	DISTRITO FEDERAL	289	1
2020-03-29	ES	ESPÍRITO SANTO	60	
2020-03-29	GO	GOIÁS	58	1
2020-03-29	MA	MARANHÃO	16	1
2020-03-29	MT	MATO GROSSO	16	
2020-03-29	MS	MATO GROSSO DO SUL	36	
2020-03-29	MG	MINAS GERAIS	231	
2020-03-29	PA	PARÁ	18	
2020-03-29	PB	PARAÍBA	14	
2020-03-29	PR	PARANÁ	148	2
2020-03-29	PE	PERNAMBUCO	73	5
2020-03-29	PI	PIAUÍ	14	1
2020-03-29	RJ	RIO DE JANEIRO	600	17
2020-03-29	RN	RIO GRANDE DO NORTE	68	
2020-03-29	RS	RIO GRANDE DO SUL	226	2
2020-03-29	RO	RONDÔNIA	6	
2020-03-29	RR	RORAIMA	16	
2020-03-29	SC	SANTA CATARINA	194	1
2020-03-29	SP	SÃO PAULO	1451	98
2020-03-29	SE	SERGIPE	16	
2020-03-29	TO	TOCANTINS	9	
