Abrangência;nome;sigla;Casos.confirmados;Óbitos;dia;confirmados
Unidade da Federação;AMAPÁ;AP;  0;NA;2020-02-25;  0
Unidade da Federação;RORAIMA;RR;  0;NA;2020-02-25;  0
Unidade da Federação;RONDÔNIA;RO;  0;NA;2020-02-25;  0
Unidade da Federação;ACRE;AC;  0;NA;2020-02-25;  0
Unidade da Federação;AMAZONAS;AM;  0;NA;2020-02-25;  0
Unidade da Federação;PARÁ;PA;  0;NA;2020-02-25;  0
Unidade da Federação;TOCANTINS;TO;  0;NA;2020-02-25;  0
Unidade da Federação;MARANHÃO;MA;  0;NA;2020-02-25;  0
Unidade da Federação;PIAUÍ;PI;  0;NA;2020-02-25;  0
Unidade da Federação;CEARÁ;CE;  0;NA;2020-02-25;  0
Unidade da Federação;RIO GRANDE DO NORTE;RN;  0;NA;2020-02-25;  0
Unidade da Federação;PARAÍBA;PB;  0;NA;2020-02-25;  0
Unidade da Federação;PERNAMBUCO;PE;  0;NA;2020-02-25;  0
Unidade da Federação;ALAGOAS;AL;  0;NA;2020-02-25;  0
Unidade da Federação;SERGIPE;SE;  0;NA;2020-02-25;  0
Unidade da Federação;BAHIA;BA;  0;NA;2020-02-25;  0
Unidade da Federação;MINAS GERAIS;MG;  0;NA;2020-02-25;  0
Unidade da Federação;ESPÍRITO SANTO;ES;  0;NA;2020-02-25;  0
Unidade da Federação;RIO DE JANEIRO;RJ;  0;NA;2020-02-25;  0
Unidade da Federação;SÃO PAULO;SP;  1;NA;2020-02-25;  1
Unidade da Federação;PARANÁ;PR;  0;NA;2020-02-25;  0
Unidade da Federação;SANTA CATARINA;SC;  0;NA;2020-02-25;  0
Unidade da Federação;RIO GRANDE DO SUL;RS;  0;NA;2020-02-25;  0
Unidade da Federação;MATO GROSSO DO SUL;MS;  0;NA;2020-02-25;  0
Unidade da Federação;MATO GROSSO;MT;  0;NA;2020-02-25;  0
Unidade da Federação;GOIÁS;GO;  0;NA;2020-02-25;  0
Unidade da Federação;DISTRITO FEDERAL;DF;  0;NA;2020-02-25;  0
Unidade da Federação;AMAPÁ;AP;  0;NA;2020-02-29;  0
Unidade da Federação;RORAIMA;RR;  0;NA;2020-02-29;  0
Unidade da Federação;RONDÔNIA;RO;  0;NA;2020-02-29;  0
Unidade da Federação;ACRE;AC;  0;NA;2020-02-29;  0
Unidade da Federação;AMAZONAS;AM;  0;NA;2020-02-29;  0
Unidade da Federação;PARÁ;PA;  0;NA;2020-02-29;  0
Unidade da Federação;TOCANTINS;TO;  0;NA;2020-02-29;  0
Unidade da Federação;MARANHÃO;MA;  0;NA;2020-02-29;  0
Unidade da Federação;PIAUÍ;PI;  0;NA;2020-02-29;  0
Unidade da Federação;CEARÁ;CE;  0;NA;2020-02-29;  0
Unidade da Federação;RIO GRANDE DO NORTE;RN;  0;NA;2020-02-29;  0
Unidade da Federação;PARAÍBA;PB;  0;NA;2020-02-29;  0
Unidade da Federação;PERNAMBUCO;PE;  0;NA;2020-02-29;  0
Unidade da Federação;ALAGOAS;AL;  0;NA;2020-02-29;  0
Unidade da Federação;SERGIPE;SE;  0;NA;2020-02-29;  0
Unidade da Federação;BAHIA;BA;  0;NA;2020-02-29;  0
Unidade da Federação;MINAS GERAIS;MG;  0;NA;2020-02-29;  0
Unidade da Federação;ESPÍRITO SANTO;ES;  0;NA;2020-02-29;  0
Unidade da Federação;RIO DE JANEIRO;RJ;  0;NA;2020-02-29;  0
Unidade da Federação;SÃO PAULO;SP;  2;NA;2020-02-29;  2
Unidade da Federação;PARANÁ;PR;  0;NA;2020-02-29;  0
Unidade da Federação;SANTA CATARINA;SC;  0;NA;2020-02-29;  0
Unidade da Federação;RIO GRANDE DO SUL;RS;  0;NA;2020-02-29;  0
Unidade da Federação;MATO GROSSO DO SUL;MS;  0;NA;2020-02-29;  0
