Abrangência	Nome	Casos suspeitos	% Casos suspeitos	Casos confirmados	% Casos confirmados	Casos descartados	% Casos descartados	Óbitos	% Óbitos	Total	Transmissão local
Unidade da Federação	Rondônia (RO)			1							
Unidade da Federação	Acre (AC)			9							
Unidade da Federação	Amazonas (AM)			11							
Unidade da Federação	Roraima (RR)			0							
Unidade da Federação	Pará (PA)			2							
Unidade da Federação	Amapá (AP)			1							
Unidade da Federação	Tocantins (TO)			2							
Região	Norte			26							
Unidade da Federação	Maranhão (MA)			0							
Unidade da Federação	Piauí (PI)			4							
Unidade da Federação	Ceará (CE)			68							
Unidade da Federação	Rio Grande do Norte (RN)			6							
Unidade da Federação	Paraíba (PB)			1							
Unidade da Federação	Pernambuco (PE)			30							
Unidade da Federação	Alagoas (AL)			7							
Unidade da Federação	Sergipe (SE)			10							
Unidade da Federação	Bahia (BA)			41							
Região	Nordeste			167							
Unidade da Federação	Minas Gerais (MG)			38							
Unidade da Federação	Espírito Santo (ES)			26							
Unidade da Federação	Rio de Janeiro (RJ)*			119				3			
Unidade da Federação	São Paulo (SP)**			459				15			
Região	Sudeste			642							
Unidade da Federação	Paraná (PR)			43							
Unidade da Federação	Santa Catarina (SC)			51							
Unidade da Federação	Rio Grande do Sul (RS)			60							
Região	Sul			154							
Unidade da Federação	Mato Grosso do Sul (MS)			16							
Unidade da Federação	Mato Grosso (MT)			2							
Unidade da Federação	Goiás (GO)			20							
Unidade da Federação	Distrito Federal (DF)			100							
Região	Centro-Oeste			138							
País	Brasil										
											
Observações											
*Transmissão comunitária no município do Rio de Janeiro											
**Transmissão comunitária no município de São Paulo.											
											
Fonte											
Ministério da Saúde											
Dados atualizados em 18/03/2020 às 20:00											
