Abrangência	Nome	Casos confirmados	Óbitos
Unidade da Federação	Acre (AC)	25	
Unidade da Federação	Alagoas (AL)	11	
Unidade da Federação	Amapá (AP)	2	
Unidade da Federação	Amazonas (AM)	81	1
Unidade da Federação	Bahia (BA)	115	
Unidade da Federação	Ceará (CE)	282	3
Unidade da Federação	Distrito Federal (DF)	230	
Unidade da Federação	Espírito Santo (ES)	47	
Unidade da Federação	Goiás (GO)	49	1
Unidade da Federação	Maranhão (MA)	13	
Unidade da Federação	Mato Grosso (MT)	11	
Unidade da Federação	Mato Grosso do Sul (MS)	28	
Unidade da Federação	Minas Gerais (MG)	189	
Unidade da Federação	Pará (PA)	13	
Unidade da Federação	Paraíba (PB)	9	
Unidade da Federação	Paraná (PR)	119	2
Unidade da Federação	Pernambuco (PE)	56	4
Unidade da Federação	Piauí (PI)	9	
Unidade da Federação	Rio de Janeiro (RJ)*	493	10
Unidade da Federação	Rio Grande do Norte (RN)	28	
Unidade da Federação	Rio Grande do Sul (RS)	195	2
Unidade da Federação	Rondônia (RO)	6	
Unidade da Federação	Roraima (RR)	10	
Unidade da Federação	Santa Catarina (SC)	149	1
Unidade da Federação	São Paulo (SP)**	1223	68
Unidade da Federação	Sergipe (SE)	16	
Unidade da Federação	Tocantins (TO)	8	
