Abrangência	Nome	Casos suspeitos	Casos confirmados	% Casos suspeitos	% Casos confirmados	Casos descartados	% Casos descartados	Óbitos	% Óbitos	Total	Transmissão local
Unidade da Federação	Amapá (AP)	0	0	0	0	0	0	0	0	2	Não
Unidade da Federação	Roraima (RR)	0	0	0	0	0	0	0	0	2	Não
Unidade da Federação	Rondônia (RO)	2	0								
Unidade da Federação	Acre (AC)	3	0								
Unidade da Federação	Amazonas (AM)	3	0								
Unidade da Federação	Pará (PA)	5	0								
Unidade da Federação	Tocantins (TO)	0	0								
Região	Norte	0	0								
Unidade da Federação	Maranhão (MA)	2	0								
Unidade da Federação	Piauí (PI)	1	0								
Unidade da Federação	Ceará (CE)	22	0								
Unidade da Federação	Rio Grande do Norte (RN)	15	0								
Unidade da Federação	Paraíba (PB)	5	0								
Unidade da Federação	Pernambuco (PE)	12	0								
Unidade da Federação	Alagoas (AL)	6	1								
Unidade da Federação	Sergipe (SE)	2	0								
Unidade da Federação	Bahia (BA)	46	2								
Região	Nordeste	0	3								
Unidade da Federação	Minas Gerais (MG)	122	1								
Unidade da Federação	Espírito Santo (ES)	1	1								
Unidade da Federação	Rio de Janeiro (RJ)*	119	8								
Unidade da Federação	São Paulo (SP)**	302	19								
Região	Sudeste	0	29								
Unidade da Federação	Paraná (PR)	33	0								
Unidade da Federação	Santa Catarina (SC)	42	0								
Unidade da Federação	Rio Grande do Sul (RS)	70	1								
Região	Sul	0	1								
Unidade da Federação	Mato Grosso do Sul (MS)	6	0								
Unidade da Federação	Mato Grosso (MT)	1	0								
Unidade da Federação	Goiás (GO)	14	0								
Unidade da Federação	Distrito Federal (DF)	59	1								
Região	Centro-Oeste	0	1								
País	Brasil	0	34								
											
Observações											
*Transmissão comunitária no município do Rio de Janeiro											
**Transmissão comunitária no município de São Paulo.											
											
Fonte											
Ministério da Saúde											
Dados atualizados em 14/03/2020 às 16:25											
