Abrangência	Nome	Casos confirmados	Óbitos	Secretarias da Saúde
Unidade da Federação	Acre (AC)	17		21
Unidade da Federação	Alagoas (AL)	9		8
Unidade da Federação	Amapá (AP)	1		1
Unidade da Federação	Amazonas (AM)	47		47
Unidade da Federação	Bahia (BA)	76		76
Unidade da Federação	Ceará (CE)	182		185
Unidade da Federação	Distrito Federal (DF)	160		161
Unidade da Federação	Espírito Santo (ES)	33		33
Unidade da Federação	Goiás (GO)	27		23
Unidade da Federação	Maranhão (MA)	8		8
Unidade da Federação	Mato Grosso (MT)	7		6
Unidade da Federação	Mato Grosso do Sul (MS)	23		24
Unidade da Federação	Minas Gerais (MG)	130		130
Unidade da Federação	Pará (PA)	5		5
Unidade da Federação	Paraíba (PB)	3		3
Unidade da Federação	Paraná (PR)	65		70
Unidade da Federação	Pernambuco (PE)	42		42
Unidade da Federação	Piauí (PI)	6		6
Unidade da Federação	Rio de Janeiro (RJ)*	305	6	305
Unidade da Federação	Rio Grande do Norte (RN)	13		14
Unidade da Federação	Rio Grande do Sul (RS)	98		96
Unidade da Federação	Rondônia (RO)	3		3
Unidade da Federação	Roraima (RR)	2		8
Unidade da Federação	Santa Catarina (SC)	107		86
Unidade da Federação	São Paulo (SP)**	810	40	810
Unidade da Federação	Sergipe (SE)	15		15
Unidade da Federação	Tocantins (TO)	7		7
