Abrangência	Nome	Casos confirmados	Óbitos
Unidade da Federação	Acre (AC)	24	
Unidade da Federação	Alagoas (AL)	11	
Unidade da Federação	Amapá (AP)	2	
Unidade da Federação	Amazonas (AM)	67	1
Unidade da Federação	Bahia (BA)	104	
Unidade da Federação	Ceará (CE)	235	3
Unidade da Federação	Distrito Federal (DF)	200	
Unidade da Federação	Espírito Santo (ES)	39	
Unidade da Federação	Goiás (GO)	39	1
Unidade da Federação	Maranhão (MA)	10	
Unidade da Federação	Mato Grosso (MT)	11	
Unidade da Federação	Mato Grosso do Sul (MS)	25	
Unidade da Federação	Minas Gerais (MG)	153	
Unidade da Federação	Pará (PA)	13	
Unidade da Federação	Paraíba (PB)	5	
Unidade da Federação	Paraná (PR)	102	
Unidade da Federação	Pernambuco (PE)	48	3
Unidade da Federação	Piauí (PI)	9	
Unidade da Federação	Rio de Janeiro (RJ)*	421	9
Unidade da Federação	Rio Grande do Norte (RN)	19	
Unidade da Federação	Rio Grande do Sul (RS)	168	1
Unidade da Federação	Rondônia (RO)	5	
Unidade da Federação	Roraima (RR)	8	
Unidade da Federação	Santa Catarina (SC)	122	1
Unidade da Federação	São Paulo (SP)**	1052	58
Unidade da Federação	Sergipe (SE)	16	
Unidade da Federação	Tocantins (TO)	7	
