Abrangência	Nome	Casos suspeitos	% Casos suspeitos	Casos confirmados	% Casos confirmados	Casos descartados	% Casos descartados	Óbitos	% Óbitos	Total	Transmissão local
Unidade da Federação	Rondônia (RO)	61	96,83	0	0	2	3,17	0	0	63	Não
Unidade da Federação	Acre (AC)	12	100	0	0	0	0	0	0	12	Não
Unidade da Federação	Amazonas (AM)	18	40	1	2,22	26	57,78	0	0	45	Não
Unidade da Federação	Roraima (RR)	9	100	0	0	0	0	0	0	9	Não
Unidade da Federação	Pará (PA)	43	65,15	0	0	23	34,85	0	0	66	Não
Unidade da Federação	Amapá (AP)	15	100	0	0	0	0	0	0	15	Não
Unidade da Federação	Tocantins (TO)	13	100	0	0	0	0	0	0	13	Não
Região	Norte	171	76,68	1	0,45	51	22,87	0	0	223	-
Unidade da Federação	Maranhão (MA)	125	90,58	0	0	13	9,42	0	0	138	Não
Unidade da Federação	Piauí (PI)	12	85,71	0	0	2	14,29	0	0	14	Não
Unidade da Federação	Ceará (CE)	493	83,42	9	1,52	89	15,06	0	0	591	Não
Unidade da Federação	Rio Grande do Norte (RN)	108	82,44	1	0,76	22	16,79	0	0	131	Não
Unidade da Federação	Paraíba (PB)	85	88,54	0	0	11	11,46	0	0	96	Não
Unidade da Federação	Pernambuco (PE)	89	69,53	16	12,5	23	17,97	0	0	128	Não
Unidade da Federação	Alagoas (AL)	43	65,15	1	1,52	22	33,33	0	0	66	Não
Unidade da Federação	Sergipe (SE)	15	48,39	5	16,13	11	35,48	0	0	31	Não
Unidade da Federação	Bahia (BA)	573	93,63	3	0,49	36	5,88	0	0	612	Sim
Região	Nordeste	1543	85,39	35	1,94	229	12,67	0	0	1807	-
Unidade da Federação	Minas Gerais (MG)	925	88,6	15	1,44	104	9,96	0	0	1044	Não
Unidade da Federação	Espírito Santo (ES)	71	70,3	9	8,91	21	20,79	0	0	101	Não
Unidade da Federação	Rio de Janeiro (RJ)*	1254	86,66	45	3,11	148	10,23	0	0	1447	Sim
Unidade da Federação	São Paulo (SP)**	5334	86,39	240	3,89	596	9,65	4	0,06	6174	Sim
Região	Sudeste	7584	86,52	309	3,52	869	9,91	4	0,05	8766	-
Unidade da Federação	Paraná (PR)	400	75,19	13	2,44	119	22,37	0	0	532	Não
Unidade da Federação	Santa Catarina (SC)	346	85,86	10	2,48	47	11,66	0	0	403	Não
Unidade da Federação	Rio Grande do Sul (RS)	416	54,38	19	2,48	330	43,14	0	0	765	Não
Região	Sul	1162	68,35	42	2,47	496	29,18	0	0	1700	-
Unidade da Federação	Mato Grosso do Sul (MS)	93	73,81	7	5,56	26	20,63	0	0	126	Não
Unidade da Federação	Mato Grosso (MT)	45	84,91	0	0	8	15,09	0	0	53	Não
Unidade da Federação	Goiás (GO)	353	84,86	8	1,92	55	13,22	0	0	416	Não
Unidade da Federação	Distrito Federal (DF)	327	71,09	26	5,65	107	23,26	0	0	460	Não
Região	Centro-Oeste	818	77,54	41	3,89	196	18,58	0	0	1055	-
País	Brasil	11278	83,23	428	3,16	1841	13,59	4	0,03	13551	-
											
Observações											
*Transmissão comunitária no município do Rio de Janeiro											
**Transmissão comunitária no município de São Paulo.											
											
Fonte											
Ministério da Saúde											
Dados atualizados em 18/03/2020 às 20:00											
