dia;sigla;nome;confirmados;obitos
2020-03-30;AC;ACRE;42;0
2020-03-30;AL;ALAGOAS;17;0
2020-03-30;AP;AMAPÁ;8;0
2020-03-30;AM;AMAZONAS;151;1
2020-03-30;BA;BAHIA;176;1
2020-03-30;CE;CEARÁ;372;5
2020-03-30;DF;DISTRITO FEDERAL;312;1
2020-03-30;ES;ESPÍRITO SANTO;72;0
2020-03-30;GO;GOIÁS;61;1
2020-03-30;MA;MARANHÃO;23;1
2020-03-30;MT;MATO GROSSO;18;0
2020-03-30;MS;MATO GROSSO DO SUL;44;0
2020-03-30;MG;MINAS GERAIS;261;1
2020-03-30;PA;PARÁ;21;0
2020-03-30;PB;PARAÍBA;15;0
2020-03-30;PR;PARANÁ;155;3
2020-03-30;PE;PERNAMBUCO;78;6
2020-03-30;PI;PIAUÍ;16;3
2020-03-30;RJ;RIO DE JANEIRO;657;18
2020-03-30;RN;RIO GRANDE DO NORTE;77;1
2020-03-30;RS;RIO GRANDE DO SUL;241;3
2020-03-30;RO;RONDÔNIA;6;0
2020-03-30;RR;RORAIMA;16;0
2020-03-30;SC;SANTA CATARINA;197;1
2020-03-30;SP;SÃO PAULO;1517;113
2020-03-30;SE;SERGIPE;16;0
