dia;sigla;nome;confirmados;obitos
2020-02-25;AC;ACRE;   0;NA
2020-02-25;AL;ALAGOAS;   0;NA
2020-02-25;AP;AMAPÁ;   0;NA
2020-02-25;AM;AMAZONAS;   0;NA
2020-02-25;BA;BAHIA;   0;NA
2020-02-25;CE;CEARÁ;   0;NA
2020-02-25;DF;DISTRITO FEDERAL;   0;NA
2020-02-25;ES;ESPÍRITO SANTO;   0;NA
2020-02-25;GO;GOIÁS;   0;NA
2020-02-25;MA;MARANHÃO;   0;NA
2020-02-25;MT;MATO GROSSO;   0;NA
2020-02-25;MS;MATO GROSSO DO SUL;   0;NA
2020-02-25;MG;MINAS GERAIS;   0;NA
2020-02-25;PA;PARÁ;   0;NA
2020-02-25;PB;PARAÍBA;   0;NA
2020-02-25;PR;PARANÁ;   0;NA
2020-02-25;PE;PERNAMBUCO;   0;NA
2020-02-25;PI;PIAUÍ;   0;NA
2020-02-25;RJ;RIO DE JANEIRO;   0;NA
2020-02-25;RN;RIO GRANDE DO NORTE;   0;NA
2020-02-25;RS;RIO GRANDE DO SUL;   0;NA
2020-02-25;RO;RONDÔNIA;   0;NA
2020-02-25;RR;RORAIMA;   0;NA
2020-02-25;SC;SANTA CATARINA;   0;NA
2020-02-25;SP;SÃO PAULO;   1;NA
2020-02-25;SE;SERGIPE;   0;NA
2020-02-25;TO;TOCANTINS;   0;NA
2020-02-29;AC;ACRE;   0;NA
2020-02-29;AL;ALAGOAS;   0;NA
2020-02-29;AP;AMAPÁ;   0;NA
2020-02-29;AM;AMAZONAS;   0;NA
2020-02-29;BA;BAHIA;   0;NA
2020-02-29;CE;CEARÁ;   0;NA
2020-02-29;DF;DISTRITO FEDERAL;   0;NA
2020-02-29;ES;ESPÍRITO SANTO;   0;NA
2020-02-29;GO;GOIÁS;   0;NA
2020-02-29;MA;MARANHÃO;   0;NA
2020-02-29;MT;MATO GROSSO;   0;NA
2020-02-29;MS;MATO GROSSO DO SUL;   0;NA
2020-02-29;MG;MINAS GERAIS;   0;NA
2020-02-29;PA;PARÁ;   0;NA
2020-02-29;PB;PARAÍBA;   0;NA
2020-02-29;PR;PARANÁ;   0;NA
2020-02-29;PE;PERNAMBUCO;   0;NA
2020-02-29;PI;PIAUÍ;   0;NA
2020-02-29;RJ;RIO DE JANEIRO;   0;NA
2020-02-29;RN;RIO GRANDE DO NORTE;   0;NA
2020-02-29;RS;RIO GRANDE DO SUL;   0;NA
2020-02-29;RO;RONDÔNIA;   0;NA
2020-02-29;RR;RORAIMA;   0;NA
2020-02-29;SC;SANTA CATARINA;   0;NA
2020-02-29;SP;SÃO PAULO;   2;NA
2020-02-29;SE;SERGIPE;   0;NA
2020-02-29;TO;TOCANTINS;   0;NA
