idMunicipio;confirmado;municipio;dia;suspeito;obito
230100;   3;AQUIRAZ;2020-03-14;   2;NA
230370;   1;CAUCAIA;2020-03-14;   9;NA
230440;  58;FORTALEZA;2020-03-14; 136;NA
230445;   1;FORTIM;2020-03-14;NA;NA
230490;   1;GROAIRAS;2020-03-14;NA;NA
230690;   2;JAGUARIBE;2020-03-14;   1;NA
230730;   1;JUAZEIRO DO NORTE;2020-03-14;   3;NA
230765;   2;MARACANAU;2020-03-14;   5;NA
230770;   1;MARANGUAPE;2020-03-14;   9;NA
230100;   3;AQUIRAZ;2020-03-15;   2;NA
230370;   1;CAUCAIA;2020-03-15;  10;NA
230440;  73;FORTALEZA;2020-03-15; 146;NA
230445;   1;FORTIM;2020-03-15;NA;NA
230490;   1;GROAIRAS;2020-03-15;NA;NA
230690;   2;JAGUARIBE;2020-03-15;   1;NA
230730;   1;JUAZEIRO DO NORTE;2020-03-15;   3;NA
230765;   2;MARACANAU;2020-03-15;   5;NA
230770;   1;MARANGUAPE;2020-03-15;   9;NA
230960;   1;PACAJUS;2020-03-15;NA;NA
231085;   1;PINDORETAMA;2020-03-15;NA;NA
NA;   1;Sem informação;2020-03-15;  19;NA
230100;   7;AQUIRAZ;2020-03-16;   2;NA
230370;   1;CAUCAIA;2020-03-16;  12;NA
230440; 112;FORTALEZA;2020-03-16; 205;NA
230445;   1;FORTIM;2020-03-16;NA;NA
230490;   1;GROAIRAS;2020-03-16;NA;NA
230625;   1;ITAITINGA;2020-03-16;   2;NA
230690;   2;JAGUARIBE;2020-03-16;   1;NA
230730;   1;JUAZEIRO DO NORTE;2020-03-16;   8;NA
230760;   1;LIMOEIRO DO NORTE;2020-03-16;   1;NA
230765;   3;MARACANAU;2020-03-16;   7;NA
230770;   1;MARANGUAPE;2020-03-16;   9;NA
230960;   1;PACAJUS;2020-03-16;NA;NA
231085;   1;PINDORETAMA;2020-03-16;NA;NA
231130;   2;QUIXADA;2020-03-16;   4;NA
231290;   1;SOBRAL;2020-03-16;   3;NA
NA;   1;Sem informação;2020-03-16;  21;NA
230100;   9;AQUIRAZ;2020-03-17;   3;NA
230370;   1;CAUCAIA;2020-03-17;  12;NA
230440; 163;FORTALEZA;2020-03-17; 246;NA
230445;   1;FORTIM;2020-03-17;NA;NA
230490;   1;GROAIRAS;2020-03-17;NA;NA
230625;   1;ITAITINGA;2020-03-17;   2;NA
230690;   2;JAGUARIBE;2020-03-17;   1;NA
230730;   2;JUAZEIRO DO NORTE;2020-03-17;   9;NA
230760;   1;LIMOEIRO DO NORTE;2020-03-17;   1;NA
230765;   4;MARACANAU;2020-03-17;   9;NA
230770;   1;MARANGUAPE;2020-03-17;   9;NA
230960;   1;PACAJUS;2020-03-17;NA;NA
231085;   2;PINDORETAMA;2020-03-17;NA;NA
231130;   2;QUIXADA;2020-03-17;   5;NA
231290;   1;SOBRAL;2020-03-17;   4;NA
NA;   1;Sem informação;2020-03-17;  21;NA
230100;  11;AQUIRAZ;2020-03-18;   3;NA
230370;   1;CAUCAIA;2020-03-18;  16;NA
230440; 247;FORTALEZA;2020-03-18; 355;NA
230445;   1;FORTIM;2020-03-18;NA;NA
230490;   1;GROAIRAS;2020-03-18;NA;NA
230550;   1;IGUATU;2020-03-18;NA;NA
230625;   1;ITAITINGA;2020-03-18;   2;NA
230690;   2;JAGUARIBE;2020-03-18;   1;NA
230730;   2;JUAZEIRO DO NORTE;2020-03-18;  11;NA
230760;   1;LIMOEIRO DO NORTE;2020-03-18;   2;NA
230765;   4;MARACANAU;2020-03-18;  14;NA
230770;   2;MARANGUAPE;2020-03-18;  13;NA
230810;   1;MAURITI;2020-03-18;NA;NA
230960;   1;PACAJUS;2020-03-18;   1;NA
231085;   2;PINDORETAMA;2020-03-18;NA;NA
231130;   2;QUIXADA;2020-03-18;   5;NA
