quantidade;dia
  1;18/02/2020
  1;01/03/2020
  1;04/03/2020
  1;06/03/2020
  1;07/03/2020
  1;10/03/2020
  4;11/03/2020
  3;12/03/2020
 16;13/03/2020
 19;14/03/2020
 17;15/03/2020
 42;16/03/2020
 46;17/03/2020
 81;18/03/2020
 65;19/03/2020
144;20/03/2020
129;21/03/2020
113;22/03/2020
138;23/03/2020
148;24/03/2020
139;25/03/2020
106;26/03/2020
 89;27/03/2020
 63;28/03/2020
 61;29/03/2020
114;30/03/2020
 61;31/03/2020
 75;01/04/2020
 64;02/04/2020
 69;03/04/2020
 56;04/04/2020
 29;05/04/2020
 53;06/04/2020
 47;07/04/2020
 48;08/04/2020
 15;09/04/2020
  5;10/04/2020
  2;11/04/2020
  2;13/04/2020
  6;14/04/2020
  1;NA
